amount_in,amount_out,gas
0,0,0
50000000000000000,49700386086180263,162452
100000000000000000,99400645906720465,162452
150000000000000000,149100779461981915,161468
200000000000000000,198800786140482355,170129
250000000000000000,248500665942585427,170129
300000000000000000,298200418868654771,170129
350000000000000000,347900045530895255,170129
400000000000000000,397599545929668180,170129
450000000000000000,447298918841655503,170129
500000000000000000,496998165490900979,170129
550000000000000000,546697285265927791,170129
600000000000000000,596396278167099569,170129
650000000000000000,646095144806616501,170129
700000000000000000,695793884573004099,170129
750000000000000000,745492498078460991,170129
800000000000000000,795190984711514243,170129
850000000000000000,844889344472527479,170129
900000000000000000,894587577361864321,170129
950000000000000000,944285683991720274,170129
1000000000000000000,993983663750625514,170129
1050000000000000000,1043681517250773987,170129
1100000000000000000,1093379242657038322,170129
1150000000000000000,1143076842417101891,170129
1200000000000000000,1192774315919495642,170129
1250000000000000000,1242471662552753636,170129
1300000000000000000,1292168882317239482,170129
1350000000000000000,1341865975825142445,170129
1400000000000000000,1391562941853174038,170129
1450000000000000000,1441259781625348402,170129
1500000000000000000,1490956495142026804,170129
1550000000000000000,1540653081179925425,170129
1600000000000000000,1590349540963053729,170129
1650000000000000000,1640045873879951992,170129
1700000000000000000,1689742080542804021,170129
1750000000000000000,1739438159728332215,170129
1800000000000000000,1789134113272358457,170129
1850000000000000000,1838829939951605923,170129
1900000000000000000,1888525639766438205,170129
1950000000000000000,1938221212717218891,170129
2000000000000000000,1987916658804311570,170129
2050000000000000000,2037611979251709343,170129
2100000000000000000,2087307172224329186,170129
2150000000000000000,2137002238334350217,170129
2200000000000000000,2186697178193948442,170129
2250000000000000000,2236391991191673461,170129
2300000000000000000,2286086677939699718,170129
2350000000000000000,2335781237826578367,170129
2400000000000000000,2385475670852672983,170129
2450000000000000000,2435169977018347140,170129
2500000000000000000,2484864156935772163,170129
2550000000000000000,2534558209993502313,170129
2600000000000000000,2584252136803707355,170129
2650000000000000000,2633945936754943104,170129
2700000000000000000,2683639609847573126,170129
2750000000000000000,2733333156081960986,170129
2800000000000000000,2783026576682076410,170129
2850000000000000000,2832719869201069076,170129
2900000000000000000,2882413036086513314,170129
2950000000000000000,2932106076115166518,170129
3000000000000000000,2981798989287392247,170129
3050000000000000000,3031491776215353243,170129
3100000000000000000,3081184435675813904,170129
3150000000000000000,3130876969504533015,170129
3200000000000000000,3180569376478275748,170129
3250000000000000000,3230261655985609577,170109
3300000000000000000,3279953809250490978,170109
3350000000000000000,3329645836273281162,170109
3400000000000000000,3379337735830753859,170109
3450000000000000000,3429029509758653831,171067
3500000000000000000,3478721156221963399,171067
3550000000000000000,3528412676444631250,171067
3600000000000000000,3578104070427018584,171067
3650000000000000000,3627795336945906909,171067
3700000000000000000,3677486477225240234,171067
3750000000000000000,3727177490041803175,171067
3800000000000000000,3776868377231324137,179749
3850000000000000000,3826559137570588512,179749
3900000000000000000,3876249771059959830,179749
3950000000000000000,3925940278311586794,179749
4000000000000000000,3975630658102261799,179749
4050000000000000000,4025320912879485185,179749
4100000000000000000,4075011039584699260,179739
4150000000000000000,4124701040053618407,179739
4200000000000000000,4174390913674822524,179739
4250000000000000000,4224080660448675130,179739
4300000000000000000,4273770280987319471,179739
4350000000000000000,4323459774679337776,179739
4400000000000000000,4373149142136871730,179739
4450000000000000000,4422838382748505118,179739
4500000000000000000,4472527496514601450,179739
4550000000000000000,4522216484047300071,179739
4600000000000000000,4571905344735187096,179739
4650000000000000000,4621594077966851751,179739
4700000000000000000,4671282686189753881,179739
4750000000000000000,4720971166345386368,179739
4800000000000000000,4770659520881205163,179739
4850000000000000000,4820347747962255596,179739
4900000000000000000,4870035849424214665,179739
4950000000000000000,4919723822820362756,179739
5000000000000000000,4969411670598143362,179739
5050000000000000000,5019099391534379200,179739
5100000000000000000,5068786985629433761,179739
5150000000000000000,5118474453495437033,179739
5200000000000000000,5168161794520984451,179739
5250000000000000000,5217849008706439502,179739
5300000000000000000,5267536096663929836,179739
5350000000000000000,5317223057782053216,179739
5400000000000000000,5366909892061173127,179739
5450000000000000000,5416596600113414875,179739
